Star,TIC,PICid,RA,Dec,GLON,GLAT,VMAG,Period,Priority,Notes
TIC167756615,0167756615,2551246000003,05:24:33.90,-38:33:51.1,243.13768,-32.8039,9.67,19.43,4,tessebs
TIC013957444,0013957444,2518446000008,05:01:57.08,-37:02:22.3,240.41608,-36.96205,8.72,3.74,4,tessebs
TIC219164808,0219164808,,06:03:05.79,-52:05:03.7,259.89173,-28.30964,10.01,3.35,4,tessebs
TIC047911178,0047911178,2199088000213,06:33:24.27,-23:29:10.3,232.32244,-14.23408,10.34,3.59,4,tessebs
TIC149603524,0149603524,2986390000903,05:48:33.59,-63:59:18.4,273.41581,-31.03357,10.21,8.82,4,tessebs
TIC299903137,0299903137,2242091000076,06:29:26.37,-25:13:29.4,233.6036,-15.75292,11.37,18.3,4,tessebs
TIC350618622,0350618622,2859572000061,05:49:36.41,-54:54:38.6,262.84953,-30.62858,9.07,52.98,4,tessebs
TIC401309413,0401309413,2777434000197,09:01:26.57,-50:02:04.1,270.09765,-2.42523,10.72,7.95,4,tessebs
TIC309791156,0309791156,2970168000641,05:20:13.13,-62:38:45.8,272.0866,-34.29811,11.81,19.57,4,tessebs
TIC024400247,0024400247,2395602000057,05:27:06.65,-31:33:58.2,235.23739,-30.76117,7.18,7.22,4,tessebs
TIC293689266,0293689266,2657206000158,06:31:51.11,-43:32:02.5,251.92577,-21.66306,10.58,14.81,4,tessebs
TIC293689267,0293689267,2657206000158,06:31:50.90,-43:32:05.4,251.92638,-21.66391,12.74,14.81,4,tessebs
TIC300932479,0300932479,3049655000197,07:50:38.34,-69:51:36.8,282.11764,-20.47658,11.18,3.51,4,tessebs
TIC309792357,0309792357,2934118000115,05:20:25.32,-59:53:44.5,268.7661,-34.55054,10.7,314.62,4,tessebs
TIC041591173,0041591173,,06:15:39.47,-66:17:32.2,276.13452,-28.23842,7.32,81.06,4,tessebs
TIC260269456,0260269456,2855044000063,06:17:00.65,-54:38:02.8,263.10711,-26.67514,12.0,10.8,4,tessebs
TIC307084982,0307084982,,08:14:37.75,-68:31:31.6,281.84404,-17.97742,11.97,19.27,4,tessebs
TIC373915220,0373915220,3031226002607,05:27:00.62,-67:59:39.9,278.33538,-32.87799,11.52,6.47,4,tessebs
